Wilayah Kalimantan Selatan;Indeks Kesehatan;Indeks Pengeluaran;Indeks Pendidikan;Indeks Pembangunan Manusia
;2024;2024;2024;2024
TANAH LAUT;77.4;77.19;60.99;73.42
KOTABARU;76.82;77.99;58.76;72.42
BANJAR;74.25;79.72;62.72;74.41
BARITO KUALA;72.42;73.51;61.29;71.4
TAPIN;79.0;78.53;61.44;74.06
HULU SUNGAI SELATAN;72.57;80.74;61.63;73.95
HULU SUNGAI TENGAH;72.49;78.56;62.03;73.33
HULU SUNGAI UTARA;69.63;73.0;62.63;71.74
TABALONG;79.17;78.38;66.39;75.97
TANAH BUMBU;78.63;78.21;63.13;74.5
BALANGAN;74.75;76.52;63.46;73.83
KOTA BANJARMASIN;80.15;83.95;73.42;80.53
KOTA BANJAR BARU;81.26;82.38;77.94;81.65
